id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
50N9MMC76D,109,crossover,0.18350341907227397,1,0.0,4,3,4,0.07533789955465353,1,0.11111111111111116,4,0,4,9,4,6,7
KHKH4YKVBQ,109,inicialization,0.2546440075000701,1,0.0,2,1,2,0.16333997346592444,1,0.0,2,0,3,14,2,8,2
6UB6JZWFIW,109,crossover,0.057190958417936644,1,0.0,5,3,5,0.17537887487646786,1,0.2857142857142857,5,1,4,6,6,4,7
COHJDEBQI7,109,inicialization,0.21553545944726382,0.025000000000000022,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.32307692307692315,2,0,3,10,2,1,6
GK5CFEJS37,109,inicialization,0.2546440075000701,1,0.0,2,1,2,0.16333997346592444,1,0.0,2,0,4,35,2,9,3
1TW4QZY2Z6,109,crossover,0.21553545944726382,0.025000000000000022,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.32307692307692315,2,0,3,11,2,1,6
IR0UJQI60X,109,inicialization,0.2546440075000701,1,0.0,2,1,2,0.16333997346592444,1,0.0,2,1,4,36,2,9,0
RQ5XW41JUU,109,crossover,0.08013378899220014,0.07500000000000001,0.033333333333333326,3,2,3,0.15147186257614298,0.375,0.06593406593406603,3,0,3,9,3,1,2
4BEIFI3LIL,109,crossover,0.21553545944726382,0.025000000000000022,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.32307692307692315,2,0,3,19,2,1,3
RFPHZNL36Y,109,inicialization,0.2546440075000701,1,0.0,2,1,2,0.16333997346592444,1,0.0,2,0,4,33,2,8,4
R1PRJYXWT9,109,crossover,0.08013378899220014,0.07500000000000001,0.033333333333333326,3,2,3,0.15147186257614298,0.375,0.06593406593406603,3,0,3,19,3,1,1
Z16V4HFYKH,109,crossover,0.21553545944726382,0.025000000000000022,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.32307692307692315,2,0,3,26,2,1,5
75WTH7S8IA,109,inicialization,0.2546440075000701,1,0.0,2,1,2,0.16333997346592444,1,0.0,2,0,3,9,2,7,8
UNDEBKUN6T,109,crossover,0.08013378899220014,0.07500000000000001,0.033333333333333326,3,2,3,0.15147186257614298,0.375,0.06593406593406603,3,0,3,17,3,1,6
SVVFL1G2FI,109,crossover,0.21553545944726382,0.025000000000000022,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.32307692307692315,2,0,3,20,2,1,5
RAWN0U9GAZ,109,inicialization,0.2546440075000701,1,0.0,2,1,2,0.16333997346592444,1,0.0,2,0,4,5,2,7,10
7FBYAC1QTX,109,crossover,0.08013378899220014,0.07500000000000001,0.033333333333333326,3,2,3,0.15147186257614298,0.375,0.06593406593406603,3,0,3,13,3,1,7
56KMP190B1,109,crossover,0.21553545944726382,0.025000000000000022,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.32307692307692315,2,0,3,27,2,1,4
5GKO41LIVE,109,inicialization,0.2546440075000701,1,0.0,2,1,2,0.16333997346592444,1,0.0,2,0,4,31,2,7,1
1XHBU4NODU,109,crossover,0.08013378899220014,0.07500000000000001,0.033333333333333326,3,2,3,0.15147186257614298,0.375,0.06593406593406603,3,0,3,25,3,1,4
SCDWMBIW8S,109,crossover,0.21553545944726382,0.025000000000000022,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.32307692307692315,2,0,3,15,2,1,4
I141QDK2QL,109,inicialization,0.2546440075000701,1,0.0,2,1,2,0.16333997346592444,1,0.0,2,0,3,38,2,8,7
50YMGMVP61,109,crossover,0.08013378899220014,0.07500000000000001,0.033333333333333326,3,2,3,0.15147186257614298,0.375,0.06593406593406603,3,0,4,39,3,1,3
DDXZYZOIMX,109,mutation,0.21553545944726382,0.025000000000000022,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.32307692307692315,2,0,3,18,2,1,3
N2J940GRHU,109,inicialization,0.2546440075000701,1,0.0,2,1,2,0.16333997346592444,1,0.0,2,0,4,15,2,9,8
SD54SFDBQP,109,mutation,0.08013378899220014,0.07500000000000001,0.033333333333333326,3,2,3,0.15147186257614298,0.375,0.06593406593406603,3,0,3,25,3,1,4
P2DWNV8XH5,109,mutation,0.21553545944726382,0.025000000000000022,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.32307692307692315,2,0,3,21,2,1,6
CMECS8GQ4K,109,inicialization,0.2546440075000701,1,0.0,2,1,2,0.16333997346592444,1,0.0,2,0,3,23,2,9,5
ZR41M6A4QC,109,mutation,0.08013378899220014,0.07500000000000001,0.033333333333333326,3,2,3,0.15147186257614298,0.375,0.06593406593406603,3,0,4,20,3,1,6
7XC0UIA365,109,mutation,0.21553545944726382,0.025000000000000022,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.32307692307692315,2,0,3,19,2,1,4
RZN6NMRLNF,109,mutation,0.2546440075000701,1,0.0,2,1,2,0.16333997346592444,1,0.0,2,0,3,30,2,6,3
RTSND2K0DE,109,mutation,0.08013378899220014,0.07500000000000001,0.033333333333333326,3,2,3,0.15147186257614298,0.375,0.06593406593406603,3,0,3,24,3,1,3
M82T5I86N1,109,crossover,0.21553545944726382,0.025000000000000022,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.32307692307692315,2,0,3,20,2,1,4
6QE2Y0HC0E,109,crossover,0.2546440075000701,1,0.0,2,1,2,0.16333997346592444,1,0.0,2,0,3,11,2,6,7
ZB4B4YOQ8S,109,crossover,0.08013378899220014,0.07500000000000001,0.033333333333333326,3,2,3,0.15147186257614298,0.375,0.06593406593406603,3,0,3,19,3,1,4
350G7CCADR,109,crossover,0.21553545944726382,0.025000000000000022,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.32307692307692315,2,0,3,23,2,1,4
Z9ESWW141W,109,mutation,0.2546440075000701,1,0.0,2,1,2,0.16333997346592444,1,0.0,2,0,4,4,2,7,8
J2NGUE45S8,109,mutation,0.08013378899220014,0.07500000000000001,0.033333333333333326,3,2,3,0.15147186257614298,0.375,0.06593406593406603,3,0,3,18,3,1,4
8T3MN4OJJ1,109,mutation,0.21553545944726382,0.025000000000000022,0.1428571428571429,2,1,2,0.3291796067500631,0.0,0.32307692307692315,2,0,3,16,2,1,4
VUKKKXL4ZO,109,crossover,0.2546440075000701,1,0.0,2,1,2,0.16333997346592444,1,0.0,2,0,3,15,2,6,7
