id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
8MSQ9WJM4Y,105,inicialization,0.173101769405277,0.3181818181818182,0.3571428571428571,4,3,4,0.09251478702696991,1,0.0,4,0,4,8,4,8,2
ZZ7P2OPJKK,105,inicialization,0.1229419806929708,0.3181818181818182,0.2571428571428571,6,5,6,0.16523501559689246,0.1388888888888889,0.031746031746031744,6,0,5,10,6,7,8
7L036XRAZM,105,inicialization,0.22650753184623817,0.3181818181818182,0.33333333333333337,3,2,3,0.09251478702696991,1,0.0,3,0,4,5,3,7,1
BSNBFGEY3X,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,2,1,2,0.263123873816388,0.16666666666666669,0.0505050505050505,2,0,4,32,2,3,4
PX0TFHG5K1,105,inicialization,0.18350341907227397,1,0.0,2,1,2,0.15983194958319413,1,0.0,2,1,4,11,2,8,2
CTYM47QXN7,105,inicialization,0.11808289631180313,1,0.0,3,2,3,0.12552536780479384,1,0.0,3,0,5,33,3,9,6
QCD6MBZYP9,105,inicialization,0.173101769405277,0.3181818181818182,0.3571428571428571,4,3,4,0.09251478702696991,1,0.0,4,0,4,25,4,6,5
XTXM2FEIKR,105,inicialization,0.22650753184623817,0.3181818181818182,0.33333333333333337,3,2,3,0.09251478702696991,1,0.0,3,0,3,18,3,7,6
YS7H0WSQIH,105,inicialization,0.0,1,0.0,4,3,4,0.16523501559689246,0.1388888888888889,0.031746031746031744,4,1,5,17,4,8,8
1CP3ASBEW7,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,2,1,2,0.263123873816388,0.16666666666666669,0.0505050505050505,2,0,4,29,2,4,5
KBYP123WM0,105,inicialization,0.18350341907227397,1,0.0,2,1,2,0.15983194958319413,1,0.0,2,0,3,21,2,9,4
BH5AFFFVL2,105,crossover,0.11808289631180313,1,0.0,3,2,3,0.12552536780479384,1,0.0,3,0,4,21,3,9,6
NPQ0TD7S3U,105,inicialization,0.173101769405277,0.3181818181818182,0.3571428571428571,4,3,4,0.09251478702696991,1,0.0,4,0,4,28,4,7,5
R9SFYSSOKE,105,inicialization,0.22650753184623817,0.3181818181818182,0.33333333333333337,3,2,3,0.09251478702696991,1,0.0,3,0,3,10,3,7,6
S4DXFQPHSO,105,inicialization,0.0,1,0.0,4,3,4,0.16523501559689246,0.1388888888888889,0.031746031746031744,4,1,5,3,4,7,0
S4AGO6XUU1,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,2,1,2,0.263123873816388,0.16666666666666669,0.0505050505050505,2,0,4,28,2,2,9
457JN9AIA2,105,inicialization,0.18350341907227397,1,0.0,2,1,2,0.15983194958319413,1,0.0,2,1,5,7,2,8,6
K6QCOQ3AN6,105,crossover,0.11808289631180313,1,0.0,3,2,3,0.12552536780479384,1,0.0,3,0,4,22,3,9,5
3GV067TOGW,105,inicialization,0.173101769405277,0.3181818181818182,0.3571428571428571,4,3,4,0.09251478702696991,1,0.0,4,0,4,17,4,7,5
P9RZZH65NI,105,inicialization,0.22650753184623817,0.3181818181818182,0.33333333333333337,3,2,3,0.09251478702696991,1,0.0,3,0,5,37,3,8,7
